Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Volatility_30d
2024-09-12 04:00:00+00:00,116.8065064192,120.7553788047,115.3469258152,119.1058502197,366052700,0.01,0.0,0.019161734971196998,0.6947028628817047
2024-09-13 04:00:00+00:00,119.0458660228,119.9256110138,117.5662869278,119.0658569336,238358300,0.0,0.0,-0.00033577935950446225,0.6639707698832231
2024-09-16 04:00:00+00:00,116.756520265,118.146121178,114.3272165776,116.7465209961,248772300,0.0,0.0,-0.019479437659390753,0.6644721760264513
2024-09-17 04:00:00+00:00,118.1361241378,118.7659484266,114.7970852269,115.5568618774,231925900,0.0,0.0,-0.010190103384234872,0.6348618867682545
2024-09-18 04:00:00+00:00,115.8567679305,117.6662464722,113.1875353835,113.3374938965,310318900,0.0,0.0,-0.01920585194892732,0.6311105905072084
2024-09-19 04:00:00+00:00,117.3163569589,119.6256999221,117.216387152,117.8362121582,293506400,0.0,0.0,0.03969311572927703,0.6173784115768005
2024-09-20 04:00:00+00:00,117.0264448318,118.5860028779,115.3569253318,115.9667510986,382462400,0.0,0.0,-0.015864911349069644,0.5982055082277169
2024-09-23 04:00:00+00:00,116.5165947295,116.9564634198,114.8270767166,116.2266769409,206228500,0.0,0.0,0.00224138246383232,0.5979515953354825
2024-09-24 04:00:00+00:00,116.4865984088,121.7650914043,115.3469257782,120.835357666,354966800,0.0,0.0,0.03965252080160098,0.5973691301710097
2024-09-25 04:00:00+00:00,121.9850157799,124.9041844669,121.5751372854,123.4745941162,284692900,0.0,0.0,0.021841590914929876,0.5714102959704928
2024-09-26 04:00:00+00:00,126.7636511882,127.6333968894,121.7650846213,124.0044403076,302582900,0.0,0.0,0.004291135315669825,0.5698951127488033
2024-09-27 04:00:00+00:00,123.9344668966,123.9944472577,119.2258178697,121.3652038574,271009200,0.0,0.0,-0.02128340278503915,0.5619728798715159
2024-09-30 04:00:00+00:00,118.2760819027,121.4651698734,118.1161317357,121.4051895142,226553700,0.0,0.0,0.0003294655760393006,0.5604538743642344
2024-10-01 04:00:00+00:00,121.7350904738,122.4049042106,115.7568089514,116.9664611816,302094500,0.0,0.0,-0.036561273454301824,0.5541531803060209
2024-10-02 04:00:00+00:00,116.4066204825,119.3457724331,115.1069901261,118.8159255981,221845900,0.0,0.0,0.01581192076614646,0.5539338148576353
2024-10-03 04:00:00+00:00,120.885334155,124.3243504544,120.3054985925,122.814781189,277118000,0.0,0.0,0.03365588889511595,0.5624739918487816
2024-10-04 04:00:00+00:00,124.9041843286,125.0041541349,121.795075301,124.884185791,243678100,0.0,0.0,0.0168498008298803,0.5539904128833727
2024-10-07 04:00:00+00:00,124.9541670089,130.6025488501,124.9141775604,127.6833877563,346250200,0.0,0.0,0.02241438295465703,0.5417517484703533
2024-10-08 04:00:00+00:00,130.2226473653,133.441725372,129.3828918647,132.8518981934,285722500,0.0,0.0,0.040479114220909995,0.549572319020865
2024-10-09 04:00:00+00:00,134.0715417617,134.4814278467,131.3423289176,132.6119537354,246191600,0.0,0.0,-0.0018061048525681578,0.5484330259838832
2024-10-10 04:00:00+00:00,131.8721845881,134.9612950129,130.9624418274,134.7713470459,242311300,0.0,0.0,0.016283549481584725,0.5456751233930248
2024-10-11 04:00:00+00:00,133.9715856786,135.7410826472,133.6216951453,134.7613677979,170209500,0.0,0.0,-7.404576876868241e-05,0.5078384289772905
2024-10-14 04:00:00+00:00,136.4308936865,139.5600016193,136.2609442331,138.0304412842,232347700,0.0,0.0,0.024258239135733772,0.5100932225982173
2024-10-15 04:00:00+00:00,137.830478261,138.5302898277,128.7031055116,131.562286377,377831000,0.0,0.0,-0.04686035085465168,0.44186481581798726
2024-10-16 04:00:00+00:00,133.941584662,136.5808271835,131.5422788259,135.6810913086,264879700,0.0,0.0,0.03130688166818052,0.441474074656074
