Date,AAPL,AAPL_log_returns
2017-07-20,144.48941,-0.004512970074662964
2017-07-21,144.422134,-0.00046572040898423665
2017-07-24,146.171341,0.012039004847647286
2017-07-25,146.796021,0.004264508800158156
2017-07-26,147.488022,0.004702954794325965
2017-07-27,144.700867,-0.019078340376296576
2017-07-28,143.682114,-0.0070653076291467875
2017-07-31,142.942078,-0.0051638184429472775
2017-08-01,144.210724,0.008836091763281628
2017-08-02,151.024796,0.046168444236496964
2017-08-03,149.5159,-0.010041293563601856
2017-08-04,150.303986,0.005257075009469265
2017-08-07,152.629822,0.015355709007369722
2017-08-08,153.850388,0.00796509799443265
2017-08-09,154.792236,0.006103181157238554
2017-08-10,149.861832,-0.03237005525452448
2017-08-11,151.945938,0.013811036923157816
2017-08-14,154.232635,0.014937292935124986
2017-08-15,155.921127,0.010888203776038545
2017-08-16,155.293991,-0.004030246685347613
2017-08-17,152.312561,-0.019385304675756793
2017-08-18,151.96524,-0.0022829213942246176
2017-08-21,151.685425,-0.001843006529910457
2017-08-22,154.165115,0.016215399415235733
2017-08-23,154.358063,0.0012507846341125682
2017-08-24,153.673019,-0.004447896134041742
2017-08-25,154.242294,0.0036976118080208763
2017-08-28,155.795715,0.010020926172239273
2017-08-29,157.185104,0.008878487386352439
2017-08-30,157.609665,0.0026973844500022015
2017-08-31,158.236786,0.003971055062471317
2017-09-01,158.285065,0.0003050595099321055
2017-09-05,156.384277,-0.012081323890818093
2017-09-06,156.220215,-0.0010496459216781716
2017-09-07,155.593094,-0.004022418719530668
2017-09-08,153.055527,-0.016443450604956385
2017-09-11,155.824661,0.01793063005418055
2017-09-12,155.207169,-0.003970608482530883
2017-09-13,154.039673,-0.007550612573394824
2017-09-14,152.717804,-0.008618386061260093
2017-09-15,154.261597,0.010058043045678011
2017-09-18,153.094116,-0.007596973575663981
2017-09-19,153.151978,0.0003778791097888795
2017-09-20,150.58548,-0.016899852262755366
2017-09-21,147.999649,-0.017320994235321012
2017-09-22,146.552353,-0.009827179158075704
2017-09-25,145.25946,-0.00886120028261224
2017-09-26,147.758423,0.01705714042253061
2017-09-27,148.81012,0.007092467717529511
2017-09-28,147.893524,-0.006178548423072057
2017-09-29,148.703979,0.005465029266434661
2017-10-02,148.404892,-0.002013316532899396
2017-10-03,149.051361,0.004346656096914281
2017-10-04,148.086502,-0.006494375247146139
2017-10-05,149.929367,0.012367720528362144
2017-10-06,149.842514,-0.0005794606361379934
2017-10-09,150.363541,0.0034711326734839206
2017-10-10,150.421432,0.00038493279858656324
2017-10-11,151.048615,0.00416083727777687
2017-10-12,150.51796,-0.003519326024172839
2017-10-13,151.47316,0.006326034921078585
2017-10-16,154.261597,0.018241395565370824
2017-10-17,154.830856,0.003683426354149636
2017-10-18,154.145813,-0.004434277349848384
2017-10-19,150.498627,-0.02394503088420558
2017-10-20,150.75914,0.0017295027280526966
2017-10-23,150.681976,-0.0005119673301996891
2017-10-24,151.579269,0.00593721921471892
2017-10-25,150.913528,-0.0044017053066854024
2017-10-26,151.878357,0.006372907024618564
2017-10-27,157.32016,0.035203047044200284
2017-10-30,160.861237,0.022259146764619868
2017-10-31,163.09967,0.013819374963278118
2017-11-01,161.025253,-0.012800282710012826
2017-11-02,162.202377,0.007283592704839768
2017-11-03,166.438095,0.02577864216211124
2017-11-06,168.126602,0.010093840451971856
2017-11-07,168.666901,0.0032084910112120924
2017-11-08,170.046692,0.008147288215507744
2017-11-09,169.699356,-0.002044680861215223
2017-11-10,169.13768,-0.003315319488654609
2017-11-13,168.459869,-0.004015502557848931
2017-11-14,165.913132,-0.015233205072380863
2017-11-15,163.724716,-0.013277893695221053
2017-11-16,165.680771,0.01187641413887026
2017-11-17,164.760849,-0.005567848121162396
2017-11-20,164.596252,-0.000999504872997072
2017-11-21,167.656158,0.01841968589172496
2017-11-22,169.418503,0.010456799412486261
2017-11-24,169.428192,5.718810391621513e-05
2017-11-27,168.576065,-0.005042118776028133
2017-11-28,167.588379,-0.005876224328268622
2017-11-29,164.112122,-0.020960982975648464
2017-11-30,166.407013,0.01388680797217302
2017-12-01,165.632339,-0.004666166229524673
2017-12-04,164.421921,-0.007334693552953911
2017-12-05,164.266983,-0.0009427638693624648
2017-12-06,163.656967,-0.003720476675464416
2017-12-07,163.957169,0.0018326564762288285
2017-12-08,164.005539,0.00029497256347042343
2017-12-11,167.201035,0.01929668917872919
2017-12-12,166.261749,-0.005633543107228967
2017-12-13,166.813705,0.003314303102332177
2017-12-14,166.765289,-0.0002902820693798576
2017-12-15,168.459869,0.010110186505689804
2017-12-18,170.832275,0.013984671949069756
2017-12-19,169.01178,-0.01071381056744819
2017-12-20,168.82782,-0.0010890376272136451
2017-12-21,169.466919,0.0037783606224810803
2017-12-22,169.466919,0.0
2017-12-26,165.167572,-0.025697193212233342
2017-12-27,165.196625,0.00017588467720608267
2017-12-28,165.661407,0.002809557337474784
2017-12-29,163.869995,-0.010872588387438386
2018-01-02,166.804016,0.017746166327274354
2018-01-03,166.774963,-0.00017418963365458973
2018-01-04,167.549622,0.004634181398041475
2018-01-05,169.457214,0.01132091203944476
2018-01-08,168.82782,-0.0037210911685962777
2018-01-09,168.808456,-0.00011470331476606188
2018-01-10,168.769714,-0.00022952906089926834
2018-01-11,169.728378,0.005664236140582633
2018-01-12,171.481064,0.01027346374218373
2018-01-16,170.609558,-0.005095187236234315
2018-01-17,173.427399,0.01638140296522168
2018-01-18,173.582321,0.0008928972381110537
2018-01-19,172.807663,-0.004472758031337647
2018-01-22,171.393921,-0.008214662661250193
2018-01-23,171.432632,0.00022583431665832278
2018-01-24,168.70195,-0.016056824641363616
2018-01-25,165.690445,-0.018012290149530284
2018-01-26,166.077759,0.002334848073349392
2018-01-29,162.640213,-0.02091562742921757
2018-01-30,161.68158,-0.0059116335226361855
2018-01-31,162.127014,0.0027512196354198605
2018-02-01,162.465912,0.0020881423838700936
2018-02-02,155.416519,-0.044359475301395994
2018-02-05,151.533508,-0.025301956744066458
2018-02-06,157.866333,0.04094190589013015
2018-02-07,154.486877,-0.021639527082486034
2018-02-08,150.235947,-0.027902115959982935
2018-02-09,152.073547,0.012157227405976924
2018-02-12,158.198883,0.0394887289609589
2018-02-13,159.783676,0.009967880797422765
2018-02-14,162.729675,0.018269513073927435
2018-02-15,168.193878,0.033026961232904266
2018-02-16,167.649399,-0.0032424616737778585
2018-02-20,167.08548,-0.00336935030598812
2018-02-21,166.327103,-0.004549188282381579
2018-02-22,167.717453,0.00832438669487337
2018-02-23,170.634277,0.017241798994235266
2018-02-26,174.008057,0.019579067583043373
2018-02-27,173.444168,-0.0032458534123591017
2018-02-28,173.181656,-0.001514671048793634
2018-03-01,170.148117,-0.017671744099222036
2018-03-02,171.3246,0.006890668545423457
2018-03-05,171.917709,0.0034559235546441237
2018-03-06,171.771851,-0.0008487776513003382
2018-03-07,170.177322,-0.009326184610236814
2018-03-08,172.034363,0.010853277724470888
2018-03-09,174.990051,0.01703487913600699
2018-03-12,176.681824,0.009621389545348408
2018-03-13,174.980347,-0.00967684566425405
2018-03-14,173.492752,-0.008537841461766253
2018-03-15,173.69693,0.0011761756418680691
2018-03-16,173.084427,-0.00353250614295
2018-03-19,170.439835,-0.015397132248452055
2018-03-20,170.3815,-0.00034232012247507524
2018-03-21,166.521561,-0.022915243893981814
2018-03-22,164.168655,-0.014230512986361061
2018-03-23,160.367035,-0.023429126691366493
2018-03-26,167.979996,0.04637974403067369
2018-03-27,163.672775,-0.025975740662891298
2018-03-28,161.864365,-0.011110428768390948
2018-03-29,163.128311,0.007778343735137797
2018-04-02,162.058807,-0.006577799654554422
2018-04-03,163.72142,0.010207049396900598
2018-04-04,166.852142,0.018941718061988008
2018-04-05,168.009125,0.006910250411105384
2018-04-06,163.7117,-0.025911339376090997
2018-04-09,165.335388,0.009869111370626509
2018-04-10,168.446671,0.01864314171751414
2018-04-11,167.659119,-0.004686342602656348
2018-04-12,169.311996,0.009810278582886519
2018-04-13,169.885605,0.0033821556821186623
2018-04-16,170.945419,0.006219019638285177
2018-04-17,173.298309,0.013670120611152012
2018-04-18,172.909393,-0.0022467216145072182
2018-04-19,168.009125,-0.028749424009328478
2018-04-20,161.125412,-0.04183527512738861
2018-04-23,160.658752,-0.0029004555187098105
2018-04-24,158.422516,-0.01401694701519851
2018-04-25,159.112808,0.004347819188851674
2018-04-26,159.667007,0.003477005332570083
2018-04-27,157.819687,-0.011637280445702211
2018-04-30,160.678177,0.01795030407638916
2018-05-01,164.411697,0.02297016583087146
2018-05-02,171.674622,0.0432273229433528
2018-05-03,171.985733,0.001810573029232208
2018-05-04,178.733322,0.03848334802588555
2018-05-07,180.026459,0.007208960807458563
2018-05-08,180.891769,0.004795056557654735
2018-05-09,182.165451,0.007016454460502467
2018-05-10,184.771149,0.014202681339510574
2018-05-11,184.06842,-0.003810490572894227
2018-05-14,183.638962,-0.002335869315076463
2018-05-15,181.969971,-0.009129988043517131
2018-05-16,183.668228,0.00928934239790329
2018-05-17,182.50679,-0.006343643546221815
2018-05-18,181.843079,-0.0036432659408525783
2018-05-21,183.131439,0.007060029058876067
2018-05-22,182.672684,-0.0025082015847325946
2018-05-23,183.843964,0.006391436752826009
2018-05-24,183.638962,-0.0011157090942813751
2018-05-25,184.058655,0.0022828169825234892
2018-05-29,183.394974,-0.0036123291175512873
2018-05-30,183.004562,-0.0021310733742512375
2018-05-31,182.389633,-0.003365842090286185
2018-06-01,185.678833,0.0178732375378062
2018-06-04,187.230743,0.008323299047354677
2018-06-05,188.675247,0.007685491312208005
2018-06-06,189.329178,0.003459915329569496
2018-06-07,188.821671,-0.002684152665762759
2018-06-08,187.103851,-0.009139214318949323
2018-06-11,186.645111,-0.002454804036974359
2018-06-12,187.669937,0.005475754000075238
2018-06-13,186.127823,-0.008251107492010632
2018-06-14,186.225433,0.0005242870884732232
2018-06-15,184.312439,-0.010325589588158586
2018-06-18,184.214798,-0.0005298984307352281
2018-06-19,181.237946,-0.016291670489403887
2018-06-20,182.028534,0.004352668312187519
2018-06-21,181.013458,-0.005592072914946527
2018-06-22,180.486389,-0.0029160143654412014
2018-06-25,177.802338,-0.014982895127805483
2018-06-26,180.008163,0.012329727262282219
2018-06-27,179.744629,-0.001465084096631571
2018-06-28,181.052505,0.007249956307553664
2018-06-29,180.671844,-0.00210470288534651
2018-07-02,182.692215,0.011120482451149298
2018-07-03,179.510391,-0.01756975680641357
2018-07-05,180.954895,0.008014706483352438
2018-07-06,183.463272,0.013766693557272525
2018-07-09,186.010712,0.013789768579863429
2018-07-10,185.786255,-0.001207417204502619
2018-07-11,183.375427,-0.013061281226102117
2018-07-12,186.449905,0.016627032082596305
2018-07-13,186.742706,0.0015691685818509436
2018-07-16,186.332794,-0.0021974756581547633
2018-07-17,186.859833,0.0028244896187711193
2018-07-18,185.835007,-0.005499558743554146
2018-07-19,187.279556,0.007743231494493201
2018-07-20,186.850113,-0.0022956917036389118
2018-07-23,187.015991,0.0008873658730219648
2018-07-24,188.372696,0.007228299381987923
2018-07-25,190.149063,0.009385880723962058
2018-07-26,189.55368,-0.003136050497041632
2018-07-27,186.401138,-0.01677124879335012
2018-07-30,185.356781,-0.005618493616043828
2018-07-31,185.727646,0.001998818039731881
2018-08-01,196.6689,0.057240272292623705
2018-08-02,202.417679,0.02881167633736144
2018-08-03,203.003281,0.0028888610360086886
2018-08-06,204.057388,0.005179126535668929
2018-08-07,202.144379,-0.009419078392827003
2018-08-08,202.281052,0.0006758872945501696
2018-08-09,203.871964,0.007834092442534486
2018-08-10,203.264679,-0.002983202130383538
2018-08-13,204.577133,0.006436115630746667
2018-08-14,205.439102,0.004204566533083286
2018-08-15,205.919006,0.0023332673327147837
2018-08-16,208.935715,0.014543704200336412
2018-08-17,213.108124,0.019773040405708417
2018-08-20,211.031723,-0.00979119317807613
2018-08-21,210.620346,-0.001951263426737873
2018-08-22,210.630157,4.658035981857254e-05
2018-08-23,211.061111,0.0020439320551999384
2018-08-24,211.717331,0.0031043235028037227
2018-08-27,213.460739,0.008200882848867686
